,state_query,action_result
201,201,"1799, 1815, 4315, 7306, 9209"
202,202,"2066, 2214, 2328, 9164"
203,203,"2066, 2214, 2328, 9164"
204,204,"2442, 11347"
205,205,"606, 1068, 1086, 1098, 1138, 1145, 1446, 1474, 1490, 1697, 1798, 1934, 1935, 2344, 2349, 2428, 2460, 2483, 2752, 2811, 2819, 3455, 3590, 3772, 3773, 3774, 4774, 5478, 5749, 6398, 6731, 7928, 8131, 8503, 8518, 8792, 9024, 9433, 9482, 9630, 10944, 11145, 11478"
206,206,"606, 1068, 1086, 1098, 1138, 1145, 1446, 1474, 1490, 1697, 1798, 1934, 1935, 2344, 2349, 2428, 2460, 2483, 2752, 2811, 2819, 3455, 3590, 3772, 3773, 3774, 4774, 5478, 5749, 6398, 6731, 7928, 8131, 8503, 8518, 8792, 9024, 9433, 9482, 9630, 10944, 11145, 11478"
207,207,"207, 208, 247"
208,208,"1753, 2452, 3064, 3150, 3151, 3462, 3463, 4083, 6417, 7408, 7778, 8277, 9868, 9869, 9871, 9872, 10151, 10377, 11347"
209,209,"199, 244"
210,210,"542, 606, 1086, 1575, 1815, 2399, 4224, 5419, 7306, 9608, 9837"
211,211,3302
212,212,"71, 310, 1474, 5393, 5784, 8446, 8515, 8816"
213,213,"247, 9210"
214,214,244
215,215,"244, 2328, 6000"
216,216,"1155, 1461, 2715, 3909, 6763, 7506, 7744, 9073, 9482, 9852, 10316, 10690"
217,217,"244, 247, 526, 1092, 1195, 2066, 2328, 2715, 2966, 4315, 4969, 5419, 6763, 7291, 7913, 8112, 8113, 8156, 8795, 9073, 9102, 9608, 9719, 10717, 10903, 11347"
218,218,"315, 596, 877, 878, 1086, 1113, 1149, 1575, 1782, 2032, 2066, 2198, 2214, 2472, 2503, 2648, 2900, 2966, 3178, 3995, 3996, 5071, 5253, 5254, 5419, 5994, 6369, 7776, 7918, 8503, 8565, 8783, 8841, 9482, 9488, 9489, 9635, 9719, 9853, 9867, 10292, 10332, 10654, 10717"
219,219,"244, 247, 526, 1092, 1195, 2066, 2328, 2715, 2966, 4315, 4969, 5419, 6763, 7291, 7913, 8112, 8113, 8156, 8795, 9073, 9102, 9608, 9719, 10717, 10903, 11347"
220,220,"315, 596, 877, 878, 1086, 1113, 1149, 1575, 1782, 2032, 2066, 2198, 2214, 2472, 2503, 2648, 2900, 2966, 3178, 3995, 3996, 5071, 5253, 5254, 5419, 5994, 6369, 7776, 7918, 8503, 8565, 8783, 8841, 9482, 9488, 9489, 9635, 9719, 9853, 9867, 10292, 10332, 10654, 10717"
221,221,247
222,222,"244, 247, 267, 2328, 6703, 10045"
223,223,247
224,224,"8, 207, 208, 247, 273, 1155, 1474, 1575, 1737, 2066, 2214, 2241, 2268, 2710, 3813, 4080, 4826, 5100, 5110, 5380, 5393, 6484, 6763, 7029, 7058, 7319, 8156, 8503, 8684, 10421, 10717, 10727"
225,225,"8, 207, 208, 247, 273, 1155, 1474, 1575, 1737, 2066, 2214, 2241, 2268, 2710, 3813, 4080, 4826, 5100, 5110, 5380, 5393, 6484, 6763, 7029, 7058, 7319, 8156, 8503, 8684, 10421, 10717, 10727"
226,226,"247, 783, 11302"
227,227,"1279, 2214, 2349, 4338, 5253, 5254, 5577, 7776, 7843, 9256, 10654, 10771"
228,228,"11055, 11061"
229,229,"247, 783, 11302"
230,230,"1279, 2214, 2349, 4338, 5253, 5254, 5577, 7776, 7843, 9256, 10654, 10771"
231,231,"11055, 11061"
232,232,"247, 783, 11302"
233,233,"1279, 2214, 2349, 4338, 5253, 5254, 5577, 7776, 7843, 9256, 10654, 10771"
234,234,"11055, 11061"
235,235,"247, 783, 11302"
236,236,"1279, 2214, 2349, 4338, 5253, 5254, 5577, 7776, 7843, 9256, 10654, 10771"
237,237,"11055, 11061"
238,238,"244, 2265, 2308, 2309"
239,239,7754
240,240,"250, 251, 252, 320, 899, 1113, 1211, 1320, 1333, 1576, 2308, 2309, 2452, 2692, 5642, 5851, 7029, 7116, 7312, 7972, 8414, 8565, 8657, 9164, 9868"
241,241,"207, 208, 247, 783, 11276"
242,242,"215, 247, 269, 2310"
243,243,"65, 2066, 2214, 2692, 4405, 5956, 6369, 8565, 9073, 9488, 9489, 9837, 10292, 10316, 10332, 11426"
244,244,"244, 267, 2265, 9164"
245,245,"245, 259, 260"
246,246,"245, 1104, 1105"
247,247,247
